grupo,modelo,f1_macro_mean,f1_macro_std
G1: Cor,SVM,0.7415249050888106,0.04320655994861733
G1: Cor,RF,0.830856345265827,0.016963737994658747
G1: Cor,LR,0.6426157622296432,0.053917605211749244
G2: Textura,SVM,0.827784414067882,0.021574669298666027
G2: Textura,RF,0.8348649896798787,0.0343446789112273
G2: Textura,LR,0.8191455603712097,0.045074717672672855
G3: Forma,SVM,0.5557696029665509,0.039783234735588445
G3: Forma,RF,0.6602549266256106,0.03458926800562693
G3: Forma,LR,0.5322432284159471,0.020843514864099875
G4: Todos,SVM,0.9004201993500983,0.012662684905686509
G4: Todos,RF,0.9123418878195094,0.021917595641920386
G4: Todos,LR,0.9061530277558928,0.025506856557544602
