area,perimeter,eccentricity,solidity,extent,circularity,hu_1,hu_2,hu_3,hu_4,hu_5,hu_6,hu_7,h_mean,h_std,s_mean,s_std,v_mean,v_std,h_hist_0,h_hist_1,h_hist_2,h_hist_3,h_hist_4,h_hist_5,h_hist_6,h_hist_7,h_hist_8,h_hist_9,h_hist_10,h_hist_11,h_hist_12,h_hist_13,h_hist_14,h_hist_15,glcm_contrast,glcm_homogeneity,glcm_energy,glcm_correlation,lbp_0,lbp_1,lbp_2,lbp_3,lbp_4,lbp_5,lbp_6,lbp_7,lbp_8,lbp_9,lbp_10,lbp_11,lbp_12,lbp_13,lbp_14,lbp_15,lbp_16,lbp_17,lbp_18,lbp_19,lbp_20,lbp_21,lbp_22,lbp_23,lbp_24,lbp_25
97809.0,1363.9940828143394,0.31066965169821326,0.9745135353253559,0.7375131955964409,0.6606382424223031,0.7962175907182737,4.182337828007856,4.813025322321744,8.38340656038339,-9.999995867336613,9.907752566574478,9.999998587708676,89.56959993456636,87.85889748242136,160.88529685407272,39.02248019710862,195.751965565541,25.169309556103514,0.48210287342628744,0.015560940182271058,0.00591970063438564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49641648463205595,148.95185408275435,0.612277331947436,0.42747228207995835,0.9803929371105742,0.05717265281764255,0.01580631639057142,0.017166109456513205,0.02019241582883477,0.021204592622280156,0.021490864846688953,0.021531760878747353,0.021337504726469957,0.022094081319550346,0.025580468052528907,0.030314183763288653,0.037603901477698376,0.04133566440302733,0.03891257450356716,0.032338537350179435,0.025416883924295308,0.022543937672192742,0.021306832702426157,0.019067774947228784,0.02003905570861577,0.02097966444595896,0.023177826169097936,0.021879377151243752,0.016930957272177406,0.05160056844968561,0.33297549301948903
49334.0,999.9564568673536,0.6289411647116662,0.8760676930726475,0.7506124001521491,0.6200033204869168,0.7518649844216807,2.7214698794484447,3.163277209238369,4.374370356891452,-8.138953526860503,-5.7363071564066574,9.125095216563073,120.47380793158652,82.63766321048442,184.1106247593572,24.843605940029818,163.1681763835694,31.895473048200802,0.32411291430090483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00026344053306938614,0.6756236440410259,122.26902708750909,0.75983376547501,0.6211733188200783,0.9672374782048485,0.05864591565263542,0.016130666502936347,0.015056639713167974,0.01489452246188218,0.01704257604141893,0.018521895959401787,0.01876507183633048,0.02008227450302754,0.021703447015885464,0.026040083487780412,0.03290980201101587,0.04148175167275214,0.04766247187802298,0.048432528821630495,0.03838125924191137,0.03313271323153383,0.025715848985208827,0.023993353190297283,0.020447038318420572,0.02133868320049243,0.020791537477402883,0.020913125415867224,0.01923115893377713,0.013212555979792085,0.04539283036002188,0.3200802480073865
89584.0,1259.4427842621187,0.35055847747087093,0.9782048482201354,0.7844826831297342,0.7097140927752762,0.7943106107306449,3.9565578030520414,4.194182309940801,6.524435087805835,-9.994696399458496,-8.548670534367247,-9.998078074037375,36.38730130380425,1.9098445443881877,137.16419226647616,35.76228606217883,197.15334211466333,31.122710491866588,0.0,1.1162707613803807e-05,0.07071575273344712,0.9292730834339392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203.02445581430368,0.663591205881039,0.4090277787619648,0.9879122823368326,0.04223968565392928,0.013808269332428784,0.013618503302799609,0.015382211107588412,0.017324522234381145,0.020505893907576133,0.02360912662739441,0.029469548130648338,0.03455974280776032,0.041324343628659145,0.046916860148907176,0.05202938024126966,0.047274066792915036,0.04605733166176327,0.03529648151102653,0.02999419538903488,0.025808180029567782,0.02455795677554028,0.021633327377725938,0.022347740665741658,0.023151455614759335,0.0228723879241282,0.020695659937205308,0.01268083586227898,0.05201821753364441,0.26482407570132616
43418.0,795.1808075912434,0.14259084955942342,0.9894487363551423,0.7862019013128112,0.8628750259898382,0.7962248263987175,5.566959054146946,4.198152144072901,8.12409703363338,-9.999980184306844,9.979692646585415,-9.999990280091374,27.592943994104644,1.294624234168378,154.45113301400147,26.48846413319554,190.4358879882093,40.40779016579913,0.001243551951438145,0.0034312822363756217,0.9952791072075033,4.605747968289426e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268.25727516140023,0.7858279039412019,0.5587182594486295,0.9832718807376792,0.01727155489878869,0.00840549005074383,0.005250552689231762,0.003638540898678151,0.004237288135169492,0.007069823138570838,0.008382461310878778,0.012919123064293941,0.017686072216359622,0.025769159908992728,0.04163596167601327,0.1108833824502234,0.1497098378627004,0.18059137802173456,0.08711772290949016,0.0500414517267571,0.0303979366218681,0.027427229179276445,0.01637343404405168,0.01404753131768147,0.012343404567667653,0.010915622696034454,0.00840549005074383,0.005688098746667742,0.03774410463881955,0.10604734707856257
42876.0,796.6244584051392,0.17958391625964742,0.9875621890547264,0.7830517760935074,0.8490179140096283,0.7958274867476215,5.162518580445996,4.138953016386439,8.00443216296365,9.999995492862821,9.906631193569101,-9.999964389672876,4.980991696986659,4.31584748510856,183.34287246944677,36.833178650968485,181.01604627297323,38.103248134890755,0.9985772915344978,0.0008396305616078925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005830767788943699,176.6209486899515,0.7567037530298276,0.5078580146676231,0.9738789533092317,0.01585968840218304,0.008839443977099078,0.005247691015428211,0.004897844947732997,0.00468793730711587,0.006250583076154492,0.0068103367844668345,0.010472058959676742,0.017119134245885813,0.02633174736185978,0.039346021080121744,0.10504711259328296,0.17573934133889588,0.17415337249867757,0.07566004290688497,0.047555742135369436,0.0282675622697733,0.026891501070172123,0.01660602667993283,0.01534658083623006,0.011311689522145256,0.010775258885012596,0.008536244051763224,0.005900737008459277,0.0542028174215785,0.09814348352409741
120472.0,1360.5798692519663,0.10277199959201769,0.986844476482249,0.7532513005202081,0.8178014991685428,0.7974133362331524,6.1447276188549536,4.745548970545902,8.597976812246538,-9.999998096667898,9.999508043018434,9.999998903952433,93.9187861079753,87.6877497447799,161.0881698651969,39.30208168245173,187.41198784779866,23.748479843974152,0.45657082092204415,0.014858224300968276,0.007595125829824564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5209758278221631,105.01251568074153,0.6382227460846897,0.43915510515776623,0.9847634471516261,0.05281725213629474,0.015414370142558437,0.017340128824881302,0.019382097082861576,0.021465568760719502,0.02292648914041271,0.02228733647429693,0.024163291052766617,0.02510126834200146,0.027998207049461286,0.03067932797355734,0.03912942426064646,0.04150341987764792,0.04039942890890248,0.03214854903722608,0.028222325516800584,0.024653031407322865,0.022843482300657414,0.020112557272708182,0.020884520882432433,0.02173949133191198,0.022303937842247993,0.02116674413760044,0.015995418020845507,0.05369712463770088,0.31562520748553685
51202.0,936.7493500861672,0.20510611158397438,0.9618650435828073,0.7753179890975167,0.7332464826847025,0.7928424780901888,4.921361907355954,4.777639802472142,6.260869787813604,9.99405294611269,-8.812944824358356,9.996014120999803,12.190773797898519,39.92843157075083,189.9180110151947,29.4529036341737,153.6695246279442,40.479525554364756,0.919592983614495,0.02511620636993184,0.0009179328922136831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9530487068376236e-05,0.05435334551129106,90.38306454449726,0.807714536393937,0.5616025529332616,0.9791735775169977,0.02052654192990313,0.009081676496103667,0.00611304245866763,0.008671536267247374,0.007734072887004414,0.009843365492551073,0.009257450879899222,0.01339791414263896,0.019139877346627088,0.03115112690599,0.052068278577661026,0.1055232217385981,0.11929221513591656,0.1129057458580114,0.059040662468218034,0.04212726064966798,0.0315222061606695,0.028475450174879888,0.019217999294980664,0.017538377405378697,0.015390023825655247,0.01445256044541229,0.011874536149744151,0.007929377757888363,0.057966485678356314,0.16975899377232923
69299.0,1019.3767670841365,0.3658226408801218,0.9817669226192163,0.8085759290589813,0.8380450577779663,0.7911240321729567,3.8710695934077264,3.798670227793918,6.002504491154844,-9.972346417535439,-8.375990077583452,-9.95613086011099,33.87895929234188,1.2774226755308515,151.89856996493455,23.516914514987317,176.5859103305964,25.48866169983262,0.0,0.0,0.2733805679546152,0.7264318380260375,0.000187592894347321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.9352815566947,0.7887991577908959,0.5715001417633349,0.9892725436536254,0.030649792923239876,0.013145932840429156,0.012193538145074243,0.011645189684112324,0.012741886606036161,0.016118558707749028,0.015974256481180102,0.02128457841891658,0.026998946591046045,0.034502662372630194,0.044286353334003374,0.06779318604208143,0.07857256236678019,0.08033304953092107,0.05196323178747024,0.03950994963457193,0.03264116364989105,0.02979840978648321,0.023218228254940187,0.02308835625102815,0.02207824066504567,0.017879045871889928,0.016104128485092135,0.010216597641079957,0.0465663285137924,0.22069582531451534
11617.0,401.4041122946064,0.24784885004941212,0.9891017454235845,0.7807123655913979,0.9060250775604967,0.7978159179897929,4.593845898693234,5.428476205545063,8.92421518623011,-9.999999709456295,-9.977187979994483,9.999999917449216,11.591632951708704,5.4088318888557545,145.11655332702074,36.85145587377525,211.906171989326,40.08187768745692,0.5472152873244707,0.4414220533899457,0.011362658160583627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260.06646921178105,0.6931038354813097,0.625155939248078,0.9795263544049342,0.035723508647542396,0.016441422052242402,0.01101833519731428,0.010932254453585262,0.013514676765455797,0.016699664283429456,0.024102608244124992,0.028148403199388824,0.03606783162245847,0.041404837733657565,0.05500559524284239,0.07110269432016872,0.08280967546731513,0.07712834638119997,0.06266678143472497,0.04553671343265043,0.03520702418516829,0.030558664023801325,0.023069639319376774,0.018679521389196867,0.01583885684613928,0.012826030815623656,0.009296720322733926,0.006628217267134372,0.02522165791260222,0.19437031934012222
91454.0,1609.2022356160523,0.6307842928053536,0.8784531448111577,0.6674743641207167,0.44380410488988276,0.7433474155924396,2.6965566284031586,3.145586383983944,3.9146485768511883,7.500369850740203,5.31592574862019,7.760640106634681,9.86542961488836,24.76589116446539,179.70217814420366,24.328848669409773,176.85362039932645,17.2860436937861,0.837207775645278,0.013361908704105342,0.02104883326956038,0.11159708693461469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016784394321441656,150.19214956650285,0.6544974818622971,0.5187551202102203,0.9743915113258683,0.05599536378384653,0.019135302991941303,0.01772475779996392,0.020622389395886457,0.02122378463277604,0.022853019001804187,0.02194545891704354,0.02200013121130623,0.022251623764914602,0.02547728912641328,0.029523038901852296,0.039670216717007455,0.04693069739509261,0.03909069039782295,0.030474336822023093,0.024733745924440702,0.02054584818391869,0.019332123251286984,0.018501104378494105,0.02029435563031032,0.02168303190458263,0.02245937848311282,0.02236096835343998,0.016117392348640847,0.05168718699594659,0.3273667635861318
